cust_id,name,tier,email,phone,card_last4,ssn_hash,location,household_id,tenure_months,annual_spend_usd,preferred_channel,digital_affinity,support_dependence,patience,spend_propensity,travel_intensity,n_journeys,n_events,churned_30d,churn_probability,risk_segment
CUST_PREMIUM_001021,Diego Campbell,Platinum,diegocampbell@example.com,+1 (206) 306-9380,3321,ac425dae63,"Seattle, WA",HH_SINGLE_000020,20,22556.16,app,0.634,0.2399,0.782,0.8055,0.8393,3,5,False,0.0676,low
CUST_PREMIUM_001022,Rafael Baker,Green,r.baker@orchardmail.com,+1 (310) 288-7299,3652,b4df492952,"Los Angeles, CA",HH_SINGLE_000021,81,10438.05,call_center,0.3482,0.3262,0.4284,0.3256,0.72,3,6,False,0.1144,low
CUST_PREMIUM_001023,David Kumar,Platinum,d.kumar@vectorlabs.co,+1 (469) 479-5218,8481,79f16eeba3,"Tokyo, Japan",HH_00007,56,6166.74,app,0.6096,0.107,0.8365,0.5217,0.2271,1,2,False,0.0463,low
CUST_PREMIUM_001024,Priya Khan,Green,p.khan@vectorlabs.co,+1 (469) 516-3137,1868,1bae04f9f0,"Tokyo, Japan",HH_SINGLE_000023,32,5632.58,app,0.256,0.3625,0.4543,0.118,0.3426,5,9,False,0.1281,low
CUST_PREMIUM_001025,Rafael Jones,Green,rafael.jones@orchardmail.com,+1 (312) 410-1056,2353,adf6c226ce,"Chicago, IL",HH_SINGLE_000024,33,15066.89,web,0.4514,0.3681,0.2012,0.1734,0.337,3,6,False,0.1113,low
CUST_PREMIUM_001026,Ibrahim Khan,Gold,i.khan@summitmail.net,+1 (212) 425-8975,7432,00c41cf3fd,"New York, NY",HH_SINGLE_000025,24,18223.41,call_center,0.193,0.7252,0.5974,0.2659,0.4489,6,9,False,0.088,low
CUST_PREMIUM_001027,Kabir Morgan,Green,morgan.kabir@example.com,+1 (202) 561-6894,5028,321bc5b68a,"Washington, DC",HH_SINGLE_000026,37,8607.1,call_center,0.6187,0.2872,0.859,0.773,0.505,2,2,False,0.0136,low
CUST_PREMIUM_001028,Nathan Hall,Gold,n.hall@harbor.example,+1 (416) 620-4813,2250,e7de8f41b5,"Toronto, Canada",HH_00009,70,17866.56,in_person,0.1231,0.8914,0.5807,0.2663,0.3472,1,2,False,0.076,low
CUST_PREMIUM_001029,Nathan Diaz,Green,nathan.diaz@capital-demo.org,+1 (212) 536-2732,1880,0cea9c4dc9,"New York, NY",HH_SINGLE_000028,87,3056.47,web,0.2374,0.3805,0.5487,0.0635,0.0585,5,7,False,0.1087,low
CUST_PREMIUM_001030,Daniel Williams,Green,d.williams@northstar.org,+1 (650) 705-0651,1075,71f96c12f4,Singapore,HH_SINGLE_000029,212,26437.27,call_center,0.1107,0.9023,0.1513,0.2937,0.6764,2,5,False,0.1733,low
CUST_PREMIUM_001031,Olivia Kumar,Centurion Black,kumar.olivia@northstar.org,+1 (415) 643-8570,5507,3f9fcfaddf,"San Francisco, CA",HH_SINGLE_000030,23,217938.33,app,0.7404,0.0535,0.8187,0.9815,0.7497,8,10,False,0.0311,low
CUST_PREMIUM_001032,Olivia Thomas,Green,oliviathomas@example.com,+1 (305) 702-6489,8169,0288347485,"Miami, FL",HH_SINGLE_000031,45,16241.53,web,0.8784,0.2439,0.3597,0.7401,0.4547,6,7,False,0.0499,low
CUST_PREMIUM_001033,Vivian Robinson,Gold,vivianrobinson@bluepeak.co,+1 (404) 772-4408,6495,99c5e0f909,"Atlanta, GA",HH_SINGLE_000032,28,47563.81,web,0.1258,0.793,0.1499,0.7278,0.9177,4,5,False,0.141,low
CUST_PREMIUM_001034,Hiro Chen,Green,hiro.chen@orchardmail.com,+1 (212) 721-2327,9935,05bcc275af,"New York, NY",HH_SINGLE_000033,53,8182.27,web,0.3263,0.4124,0.6129,0.9165,0.9327,4,7,False,0.0801,low
CUST_PREMIUM_001035,Sora Rodriguez,Green,sora.rodriguez@summitmail.net,+1 (416) 879-0246,3233,6d222c946d,"Toronto, Canada",HH_SINGLE_000034,62,4584.93,app,0.649,0.6807,0.3571,0.3658,0.5007,1,1,False,0.0307,low
CUST_PREMIUM_001036,Fatima Cooper,Gold,f.cooper@capital-demo.org,+1 (917) 238-8165,1844,f994618a49,"Mumbai, India",HH_SINGLE_000035,33,9149.97,in_person,0.7311,0.4461,0.3759,0.8695,0.8945,1,2,False,0.0699,low
CUST_PREMIUM_001037,Andre Brown,Platinum,brown.andre@example.com,+1 (212) 832-6084,0505,031a2f87ba,"New York, NY",HH_SINGLE_000036,105,35062.52,app,0.182,0.6118,0.4117,0.4234,0.574,4,5,False,0.0381,low
CUST_PREMIUM_001038,Nathan Sato,Gold,nathan.sato37@bluepeak.co,+1 (617) 246-4003,7118,fd03fb54aa,"Boston, MA",HH_SINGLE_000037,108,84872.66,call_center,0.0185,0.7432,0.1941,0.9359,0.1651,2,2,False,0.0425,low
CUST_PREMIUM_001039,Emma Anderson,Gold,emma.anderson38@orchardmail.com,+1 (212) 206-1922,9562,fcc00ee995,"New York, NY",HH_SINGLE_000038,213,15511.53,app,0.3746,0.385,0.6691,0.3142,0.5677,3,6,False,0.0886,low
CUST_PREMIUM_001040,Aditi Roy,Gold,aditi.roy@harbor.example,+1 (646) 353-9841,5085,3e06c911ba,"London, UK",HH_00013,59,29378.16,web,0.796,0.0979,0.9016,0.6328,0.4957,9,13,False,0.0819,low
CUST_PREMIUM_001041,Jasmine Young,Platinum,jasmineyoung@orchardmail.com,+1 (617) 357-7760,9796,465f3fe152,"Boston, MA",HH_SINGLE_000040,112,48791.49,app,0.4542,0.5808,0.3957,0.4834,0.5972,2,4,False,0.0908,low
CUST_PREMIUM_001042,Ibrahim Thompson,Platinum,ibrahim.thompson41@vectorlabs.co,+1 (415) 350-5679,0567,41bed30c66,"San Francisco, CA",HH_SINGLE_000041,138,22604.41,web,0.2234,0.4298,0.5387,0.0957,0.4168,1,2,False,0.025,low
CUST_PREMIUM_001043,Omar Lopez,Gold,omarlopez@capital-demo.org,+1 (202) 453-3598,6895,effd4284b5,"Washington, DC",HH_00014,20,13670.6,call_center,0.375,0.5463,0.6549,0.6852,0.6191,2,5,False,0.0731,low
CUST_PREMIUM_001044,Hiro Robinson,Gold,h.robinson@example.com,+1 (312) 413-1517,4581,13ebc1d98a,"Chicago, IL",HH_SINGLE_000043,44,27851.75,web,0.4524,0.4809,0.6225,0.7073,0.1228,3,6,False,0.1267,low
CUST_PREMIUM_001045,Chloe Baker,Gold,baker.chloe@example.com,+1 (617) 505-9436,9955,dbb7eb91f7,"Boston, MA",HH_SINGLE_000044,76,8651.74,app,0.746,0.2505,0.6689,0.7812,0.5116,12,16,False,0.1012,low
CUST_PREMIUM_001046,Grace Rodriguez,Green,grace.rodriguez@bluepeak.co,+1 (617) 542-7355,4737,67b8541d55,"Boston, MA",HH_SINGLE_000045,49,5393.05,web,0.5474,0.2027,0.594,0.8215,0.0833,4,6,False,0.0642,low
CUST_PREMIUM_001047,Nora Robinson,Gold,norarobinson@northstar.org,+1 (469) 667-5274,6701,0dc776258a,"Tokyo, Japan",HH_SINGLE_000046,85,29195.78,app,0.4162,0.5749,0.4147,0.4352,0.886,8,12,False,0.1427,low
CUST_PREMIUM_001048,Isla Jones,Platinum,isla.jones47@summitmail.net,+1 (206) 605-3193,3911,a11fb62e6c,"Seattle, WA",HH_00015,200,461749.91,web,0.5825,0.28,0.5396,0.7337,0.945,3,4,False,0.0652,low
CUST_PREMIUM_001049,Rafael Wilson,Green,rafael.wilson48@atlasmail.net,+1 (212) 576-1112,7572,c99f301153,"New York, NY",HH_SINGLE_000048,61,5033.44,web,0.0197,0.9631,0.1716,0.1642,0.1802,8,13,True,0.5301,high
CUST_PREMIUM_001050,Fatima Diaz,Platinum,fatimadiaz@example.com,+1 (617) 690-9031,2780,10a4814687,"Boston, MA",HH_SINGLE_000049,3,16105.5,app,0.4986,0.4689,0.2166,0.4763,0.2941,5,11,False,0.2801,medium
CUST_PREMIUM_001051,Aisha Wilson,Gold,a.wilson@example.com,+1 (305) 705-6950,0627,e7315cdc27,"Miami, FL",HH_SINGLE_000050,91,32472.77,app,0.4044,0.5117,0.3871,0.3989,0.408,11,15,False,0.1965,low
CUST_PREMIUM_001052,Sara Campbell,Gold,sara.campbell51@orchardmail.com,+1 (214) 731-4869,7266,60be7b68e7,"Dallas, TX",HH_SINGLE_000051,131,3152.2,web,0.5653,0.6846,0.784,0.5008,0.7604,4,6,False,0.0432,low
CUST_PREMIUM_001053,Priya Vance,Platinum,priyavance@harbor.example,+1 (718) 878-2788,0817,fa83fb8f15,"Delhi, India",HH_SINGLE_000052,107,318514.5,app,0.8027,0.1319,0.3712,0.333,0.1152,14,27,True,0.6027,high
CUST_PREMIUM_001054,Alejandro Carter,Green,carter.alejandro@vectorlabs.co,+1 (206) 827-0707,1724,75d8592d0c,"Seattle, WA",HH_SINGLE_000053,64,12131.02,app,0.8116,0.0958,0.6443,0.4957,0.1607,13,17,False,0.1611,low
CUST_PREMIUM_001055,Miguel Shah,Gold,miguelshah@capital-demo.org,+1 (310) 809-8626,5874,d94c58218d,"Los Angeles, CA",HH_SINGLE_000054,72,17869.44,web,0.436,0.8468,0.1885,0.4584,0.6625,11,20,True,0.707,high
CUST_PREMIUM_001056,Sara Sato,Green,sara.sato@summitmail.net,+1 (404) 223-6545,4977,74842f0971,"Atlanta, GA",HH_SINGLE_000055,54,13195.87,call_center,0.2786,0.2636,0.7117,0.7037,0.6713,2,2,False,0.0168,low
CUST_PREMIUM_001057,Leo Gupta,Green,leogupta@example.com,+1 (650) 304-4464,0003,8da4cfd491,Singapore,HH_SINGLE_000056,103,23326.61,web,0.0498,0.3047,0.1598,0.4578,0.439,4,8,True,0.1517,low
CUST_PREMIUM_001058,Aditi Evans,Platinum,aditi.evans@example.com,+1 (310) 220-2383,5022,f7aae03507,"Los Angeles, CA",HH_SINGLE_000057,42,97352.37,app,0.2928,0.8142,0.2927,0.1274,0.3038,3,7,False,0.1319,low
CUST_PREMIUM_001059,Grace Rodriguez,Gold,g.rodriguez@atlasmail.net,+1 (650) 378-0302,4992,5df4bdf87e,Singapore,HH_SINGLE_000058,21,12195.96,in_person,0.0589,0.0291,0.7555,0.344,0.2084,1,1,False,0.0089,low
CUST_PREMIUM_001060,Chloe Roy,Gold,chloe.roy@capital-demo.org,+1 (646) 393-8221,0461,3b32bce0b3,"London, UK",HH_SINGLE_000059,15,5161.43,call_center,0.285,0.5561,0.801,0.2938,0.8323,8,14,False,0.238,medium
CUST_PREMIUM_001061,Amara Wilson,Green,amara.wilson60@northstar.org,+1 (206) 386-6140,1649,64fabe8fce,"Seattle, WA",HH_SINGLE_000060,94,6117.28,call_center,0.5735,0.2374,0.7895,0.0976,0.5933,2,2,False,0.0213,low
CUST_PREMIUM_001062,Amara Robinson,Green,amara.robinson61@vectorlabs.co,+1 (312) 379-4059,2290,1c5796a120,"Chicago, IL",HH_SINGLE_000061,58,10767.1,call_center,0.3296,0.7665,0.0768,0.32,0.0321,3,6,False,0.2321,medium
CUST_PREMIUM_001063,Ibrahim Nguyen,Green,ibrahim.nguyen@summitmail.net,+1 (212) 394-1978,2097,3f400ec0f2,"New York, NY",HH_SINGLE_000062,29,15298.1,app,0.5928,0.5533,0.3678,0.6234,0.531,3,8,False,0.1996,low
CUST_PREMIUM_001064,Nora Ito,Gold,ito.nora@northstar.org,+1 (646) 541-9897,2788,1bf4bcea88,"London, UK",HH_SINGLE_000063,7,19679.48,app,0.7559,0.3274,0.7394,0.4066,0.4612,3,3,False,0.0217,low
CUST_PREMIUM_001065,Elias Miller,Centurion Black,elias.miller@orchardmail.com,+1 (415) 501-7816,5665,fa21af962c,"San Francisco, CA",HH_00021,56,41168.27,call_center,0.5718,0.458,0.714,0.6839,0.5329,1,1,False,0.0117,low
CUST_PREMIUM_001066,Samuel Kumar,Gold,samuel.kumar65@orchardmail.com,+1 (310) 516-5735,7385,0769fabf91,"Los Angeles, CA",HH_SINGLE_000065,162,10378.95,call_center,0.422,0.0892,0.5239,0.5842,0.3988,1,1,False,0.0563,low
CUST_PREMIUM_001067,Rei Baker,Green,rei.baker@bluepeak.co,+1 (617) 619-3654,3990,b2fa00b224,"Boston, MA",HH_00022,47,50995.44,app,0.4877,0.6683,0.6625,0.6918,0.4925,11,15,True,0.2277,medium
CUST_PREMIUM_001068,Mia Reed,Green,mia.reed@harbor.example,+1 (312) 601-1573,9440,24fb491c61,"Chicago, IL",HH_SINGLE_000067,33,2472.7,web,0.6559,0.7869,0.6067,0.6562,0.3626,7,9,False,0.1145,low
CUST_PREMIUM_001069,Sara Shah,Green,sarashah@vectorlabs.co,+1 (650) 748-9492,1641,0763dab86f,Singapore,HH_SINGLE_000068,7,7280.43,call_center,0.5911,0.5975,0.6198,0.5035,0.6688,3,5,False,0.0913,low
CUST_PREMIUM_001070,Sophia Sato,Green,s.sato@vectorlabs.co,+1 (404) 741-7411,5144,2caea7d16d,"Atlanta, GA",HH_SINGLE_000069,80,2323.74,web,0.1403,0.5665,0.3199,0.9626,0.6068,11,18,False,0.4203,medium
CUST_PREMIUM_001071,Isabella Adams,Platinum,i.adams@atlasmail.net,+1 (416) 811-5330,2275,ad4c27f0d7,"Toronto, Canada",HH_SINGLE_000070,42,171440.88,web,0.5088,0.6509,0.6785,0.6243,0.9538,1,4,False,0.0715,low
CUST_PREMIUM_001072,Elena Kapoor,Platinum,elenakapoor@atlasmail.net,+1 (469) 892-3249,5569,3c9d9b8aba,"Tokyo, Japan",HH_SINGLE_000071,40,3163.69,app,0.3487,0.5082,0.4853,0.2492,0.2754,3,7,False,0.1142,low
CUST_PREMIUM_001073,Avery Williams,Gold,avery.williams@vectorlabs.co,+1 (214) 808-1168,6150,8f3b4f2cae,"Dallas, TX",HH_SINGLE_000072,19,42966.99,in_person,0.232,0.3864,0.1576,0.1779,0.228,2,4,False,0.1037,low
CUST_PREMIUM_001074,Hazel Murphy,Platinum,hazel.murphy@capital-demo.org,+1 (206) 867-9087,5315,2b1902f1f6,"Seattle, WA",HH_SINGLE_000073,137,78511.91,app,0.4635,0.4525,0.7117,0.6429,0.4054,4,7,False,0.0746,low
CUST_PREMIUM_001075,Zara Ahmed,Platinum,zara.ahmed@vectorlabs.co,+1 (917) 281-7006,9107,4e08e376e7,"Mumbai, India",HH_SINGLE_000074,103,50045.07,app,0.7834,0.2691,0.5277,0.3784,0.7019,6,8,False,0.0327,low
CUST_PREMIUM_001076,Zoe Baker,Platinum,baker.zoe@example.com,+1 (404) 263-4925,1237,5ee75620ea,"Atlanta, GA",HH_SINGLE_000075,78,52163.69,web,0.389,0.356,0.5806,0.368,0.6674,6,7,False,0.0351,low
CUST_PREMIUM_001077,Miguel Robinson,Green,miguel.robinson@harbor.example,+1 (312) 234-2844,6299,2a0ff1ed7c,"Chicago, IL",HH_SINGLE_000076,129,15999.36,call_center,0.5328,0.3041,0.1003,0.2782,0.0536,1,1,False,0.0669,low
CUST_PREMIUM_001078,Rafael Rivera,Gold,rivera.rafael@harbor.example,+1 (312) 271-0763,9097,da147ab235,"Chicago, IL",HH_SINGLE_000077,88,6592.55,app,0.5114,0.3642,0.4468,0.3816,0.4514,2,4,False,0.051,low
CUST_PREMIUM_001079,Adrian Kim,Gold,adriankim@northstar.org,+1 (650) 418-8682,3085,7e6a904520,Singapore,HH_SINGLE_000078,42,19730.83,app,0.6082,0.1518,0.2636,0.1265,0.1239,4,7,False,0.1069,low
CUST_PREMIUM_001080,Jasmine Sterling,Gold,jasminesterling@bluepeak.co,+1 (310) 334-6601,6943,9553e58517,"Los Angeles, CA",HH_SINGLE_000079,24,8121.28,web,0.4877,0.5822,0.4308,0.3523,0.2976,1,1,False,0.0521,low
CUST_PREMIUM_001081,Ethan Kumar,Platinum,ethan.kumar80@harbor.example,+1 (310) 371-4520,0512,3de328870d,"Los Angeles, CA",HH_SINGLE_000080,40,83310.25,call_center,0.7461,0.1091,0.6992,0.5999,0.6843,4,6,False,0.0369,low
CUST_PREMIUM_001082,Ravi Morris,Gold,ravimorris@orchardmail.com,+1 (650) 529-2439,6767,ad83fb7c21,Singapore,HH_SINGLE_000081,41,3880.96,web,0.1277,0.8356,0.8192,0.4465,0.6184,6,8,False,0.0429,low
CUST_PREMIUM_001083,Lucas Brown,Platinum,l.brown@orchardmail.com,+1 (646) 544-0358,8464,8a7f141ae2,"London, UK",HH_SINGLE_000082,48,72361.53,in_person,0.0442,0.0971,0.9773,0.5979,0.9873,1,2,False,0.02,low
CUST_PREMIUM_001084,Elena Roy,Platinum,roy.elena@summitmail.net,+1 (646) 581-8277,4873,c8cc17764d,"London, UK",HH_SINGLE_000083,58,12511.15,web,0.5151,0.4938,0.5391,0.519,0.7608,3,6,False,0.0576,low
CUST_PREMIUM_001085,Grace Harris,Platinum,grace.harris@capital-demo.org,+1 (202) 607-6196,1245,60cf2a4c4e,"Washington, DC",HH_00028,86,25085.35,app,0.3214,0.7946,0.5893,0.8649,0.9296,5,7,False,0.0736,low
CUST_PREMIUM_001086,Rei Thompson,Green,reithompson@example.com,+1 (214) 589-4115,4617,cee40db360,"Dallas, TX",HH_SINGLE_000085,54,21410.21,in_person,0.7733,0.1214,0.2028,0.7353,0.8118,3,5,False,0.0899,low
CUST_PREMIUM_001087,Sara Reed,Platinum,sara.reed@vectorlabs.co,+1 (212) 582-2034,4132,a497f85858,"New York, NY",HH_SINGLE_000086,86,20521.85,app,0.288,0.6154,0.0803,0.3104,0.4686,6,12,True,0.2973,medium
CUST_PREMIUM_001088,Dev Lopez,Platinum,lopez.dev@example.com,+1 (212) 619-9953,0146,062d7021ee,"New York, NY",HH_SINGLE_000087,11,80807.32,web,0.6193,0.6151,0.4483,0.6219,0.307,10,12,False,0.1155,low
CUST_PREMIUM_001089,Elias Moore,Green,moore.elias@example.com,+1 (617) 733-7872,5961,557934f04d,"Boston, MA",HH_SINGLE_000088,66,2575.73,web,0.1429,0.8679,0.3969,0.1784,0.2827,4,8,False,0.1653,low
CUST_PREMIUM_001090,Amelia Rodriguez,Platinum,rodriguez.amelia@orchardmail.com,+1 (310) 704-5791,4082,70f55bfc21,"Los Angeles, CA",HH_SINGLE_000089,46,165735.65,app,0.5784,0.3779,0.4096,0.4734,0.3294,6,11,True,0.1303,low
CUST_PREMIUM_001091,Andre Thomas,Platinum,andre.thomas90@vectorlabs.co,+1 (202) 829-3710,0940,a8a1d7b74e,"Washington, DC",HH_SINGLE_000090,26,20119.31,call_center,0.5927,0.2276,0.3804,0.5412,0.4025,9,14,False,0.1303,low
CUST_PREMIUM_001092,Meera Thompson,Platinum,meera.thompson91@orchardmail.com,+1 (415) 800-1629,8720,08b72de4bc,"San Francisco, CA",HH_SINGLE_000091,59,36287.11,call_center,0.7912,0.3287,0.7821,0.7253,0.5047,9,13,False,0.0763,low
CUST_PREMIUM_001093,Theo Smith,Green,theosmith@harbor.example,+1 (469) 269-9548,9900,462a46623e,"Tokyo, Japan",HH_SINGLE_000092,126,12862.36,web,0.159,0.6987,0.1767,0.52,0.1707,6,12,False,0.4483,medium
CUST_PREMIUM_001094,Charlotte Young,Green,c.young@bluepeak.co,+1 (202) 240-7467,0124,41ccc1ab0d,"Washington, DC",HH_SINGLE_000093,35,7072.06,in_person,0.386,0.5678,0.1596,0.5724,0.1931,5,9,True,0.1648,low
CUST_PREMIUM_001095,Isabella White,Gold,isabellawhite@orchardmail.com,+1 (617) 255-5386,2349,1c768d8695,"Boston, MA",HH_SINGLE_000094,126,14480.42,call_center,0.3559,0.4632,0.276,0.2434,0.584,4,11,False,0.3663,medium
CUST_PREMIUM_001096,Aisha Garcia,Green,a.garcia@summitmail.net,+1 (310) 226-3305,2505,ed68bb0ef7,"Los Angeles, CA",HH_SINGLE_000095,40,5939.52,web,0.5896,0.4581,0.372,0.8381,0.518,3,7,False,0.2354,medium
CUST_PREMIUM_001097,Aisha Chen,Platinum,aishachen@example.com,+1 (416) 373-1224,5522,ad75104469,"Toronto, Canada",HH_SINGLE_000096,12,149693.37,app,0.7627,0.5592,0.7172,0.5806,0.6478,4,5,False,0.0843,low
CUST_PREMIUM_001098,Priya Brown,Green,priyabrown@harbor.example,+1 (212) 289-9143,0904,130b6ca361,"New York, NY",HH_SINGLE_000097,56,8291.55,call_center,0.3458,0.5906,0.6677,0.4507,0.4704,3,4,False,0.0937,low
CUST_PREMIUM_001099,Charlotte Sterling,Gold,charlotte.sterling@harbor.example,+1 (310) 337-7062,7237,615594b22e,"Los Angeles, CA",HH_SINGLE_000098,108,6542.06,app,0.6152,0.3408,0.3342,0.3494,0.3294,13,21,True,0.3413,medium
CUST_PREMIUM_001100,Hannah Wright,Gold,hannah.wright@atlasmail.net,+1 (310) 374-4981,1079,3dc53a23eb,"Los Angeles, CA",HH_SINGLE_000099,50,14861.35,app,0.903,0.1338,0.6796,0.8119,0.6955,9,16,False,0.0905,low
CUST_PREMIUM_001101,Yuki Roy,Gold,yukiroy@capital-demo.org,+1 (415) 433-2900,6786,bece604fff,"San Francisco, CA",HH_SINGLE_000100,142,121177.48,web,0.1437,0.8859,0.0905,0.3853,0.1034,1,3,False,0.1655,low
CUST_PREMIUM_001102,David Baker,Gold,davidbaker@example.com,+1 (650) 569-0819,8677,ff251a6ae1,Singapore,HH_SINGLE_000101,166,67749.17,app,0.6478,0.6759,0.0616,0.5817,0.5677,9,21,True,0.8111,high
CUST_PREMIUM_001103,Chloe Vance,Platinum,chloe.vance5@capital-demo.org,+1 (718) 628-8738,9760,061013637c,"Delhi, India",HH_SINGLE_000102,59,62823.64,call_center,0.2579,0.9617,0.1275,0.7304,0.9517,5,6,False,0.113,low
CUST_PREMIUM_001104,Rafael Brown,Green,rafaelbrown@atlasmail.net,+1 (214) 555-6657,9037,3515b48456,"Dallas, TX",HH_SINGLE_000103,34,10745.98,web,0.6993,0.2778,0.7396,0.3125,0.4974,14,23,True,0.3651,medium
CUST_PREMIUM_001105,Charlotte Lee,Gold,charlotte.lee@atlasmail.net,+1 (312) 570-4576,8053,d64d83ce3a,"Chicago, IL",HH_00034,36,6047.36,app,0.1943,0.45,0.6098,0.2223,0.5649,3,5,False,0.0977,low
CUST_PREMIUM_001106,Hiro Thomas,Green,hiro.thomas8@atlasmail.net,+1 (212) 585-2495,5771,876424d319,"New York, NY",HH_SINGLE_000105,75,1410.61,app,0.5847,0.3114,0.4757,0.1585,0.3477,10,14,False,0.1437,low
