id,type,val,owner_cust_id
dev_2632e7ee32,device_id,dev_2632e7ee32,CUST_PREMIUM_001005
CUST_PREMIUM_001006,cust_id,CUST_PREMIUM_001006,CUST_PREMIUM_001006
sara.young5@orchardmail.com,email,sara.young5@orchardmail.com,CUST_PREMIUM_001006
+1 (404) 473-0595,phone,+1 (404) 473-0595,CUST_PREMIUM_001006
0479,card_last4,Card *0479,CUST_PREMIUM_001006
ck_f7e29d9ac1,cookie,ck_f7e29d9ac1,CUST_PREMIUM_001006
dev_2d9ce90713,device_id,dev_2d9ce90713,CUST_PREMIUM_001006
CUST_PREMIUM_001007,cust_id,CUST_PREMIUM_001007,CUST_PREMIUM_001007
amelia.roy6@northstar.org,email,amelia.roy6@northstar.org,CUST_PREMIUM_001007
+1 (404) 510-8514,phone,+1 (404) 510-8514,CUST_PREMIUM_001007
2981,card_last4,Card *2981,CUST_PREMIUM_001007
ck_53135ec3d6,cookie,ck_53135ec3d6,CUST_PREMIUM_001007
dev_89a046623e,device_id,dev_89a046623e,CUST_PREMIUM_001007
dev_18b9e0292e,device_id,dev_18b9e0292e,CUST_PREMIUM_001007
CUST_PREMIUM_001008,cust_id,CUST_PREMIUM_001008,CUST_PREMIUM_001008
sophiahernandez@northstar.org,email,sophiahernandez@northstar.org,CUST_PREMIUM_001008
+1 (202) 558-6433,phone,+1 (202) 558-6433,CUST_PREMIUM_001008
6419,card_last4,Card *6419,CUST_PREMIUM_001008
ck_c3de34eabb,cookie,ck_c3de34eabb,CUST_PREMIUM_001008
ck_6baaa18eed,cookie,ck_6baaa18eed,CUST_PREMIUM_001008
dev_2c6ce1ba97,device_id,dev_2c6ce1ba97,CUST_PREMIUM_001008
dev_shared_91e42d586,device_id,dev_shared_91e42d586,CUST_PREMIUM_001008
CUST_PREMIUM_001009,cust_id,CUST_PREMIUM_001009,CUST_PREMIUM_001009
david.lee@atlasmail.net,email,david.lee@atlasmail.net,CUST_PREMIUM_001009
+1 (650) 628-4352,phone,+1 (650) 628-4352,CUST_PREMIUM_001009
8814,card_last4,Card *8814,CUST_PREMIUM_001009
ck_55704d3341,cookie,ck_55704d3341,CUST_PREMIUM_001009
ck_535213866d,cookie,ck_535213866d,CUST_PREMIUM_001009
dev_5d9136405f,device_id,dev_5d9136405f,CUST_PREMIUM_001009
CUST_PREMIUM_001010,cust_id,CUST_PREMIUM_001010,CUST_PREMIUM_001010
k.campbell@vectorlabs.co,email,k.campbell@vectorlabs.co,CUST_PREMIUM_001010
+1 (310) 544-2271,phone,+1 (310) 544-2271,CUST_PREMIUM_001010
6470,card_last4,Card *6470,CUST_PREMIUM_001010
ck_90132381d1,cookie,ck_90132381d1,CUST_PREMIUM_001010
ck_2865cb759a,cookie,ck_2865cb759a,CUST_PREMIUM_001010
ck_3ba215353a,cookie,ck_3ba215353a,CUST_PREMIUM_001010
dev_8146742b37,device_id,dev_8146742b37,CUST_PREMIUM_001010
CUST_PREMIUM_001011,cust_id,CUST_PREMIUM_001011,CUST_PREMIUM_001011
emma.kumar10@summitmail.net,email,emma.kumar10@summitmail.net,CUST_PREMIUM_001011
+1 (212) 570-0190,phone,+1 (212) 570-0190,CUST_PREMIUM_001011
9671,card_last4,Card *9671,CUST_PREMIUM_001011
ck_9319b16569,cookie,ck_9319b16569,CUST_PREMIUM_001011
dev_a5fd2b44c0,device_id,dev_a5fd2b44c0,CUST_PREMIUM_001011
CUST_PREMIUM_001012,cust_id,CUST_PREMIUM_001012,CUST_PREMIUM_001012
sterling.liam@vectorlabs.co,email,sterling.liam@vectorlabs.co,CUST_PREMIUM_001012
+1 (404) 695-8109,phone,+1 (404) 695-8109,CUST_PREMIUM_001012
9899,card_last4,Card *9899,CUST_PREMIUM_001012
ck_75cdfb5314,cookie,ck_75cdfb5314,CUST_PREMIUM_001012
ck_bd9c12dc1f,cookie,ck_bd9c12dc1f,CUST_PREMIUM_001012
ck_f6082e24a0,cookie,ck_f6082e24a0,CUST_PREMIUM_001012
dev_a4f623a69f,device_id,dev_a4f623a69f,CUST_PREMIUM_001012
CUST_PREMIUM_001013,cust_id,CUST_PREMIUM_001013,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,email,chloe.ito@vectorlabs.co,CUST_PREMIUM_001013
+1 (404) 732-6028,phone,+1 (404) 732-6028,CUST_PREMIUM_001013
9838,card_last4,Card *9838,CUST_PREMIUM_001013
ck_8a777c3dd7,cookie,ck_8a777c3dd7,CUST_PREMIUM_001013
ck_deae147c63,cookie,ck_deae147c63,CUST_PREMIUM_001013
ck_fab096768d,cookie,ck_fab096768d,CUST_PREMIUM_001013
ck_6232a0c599,cookie,ck_6232a0c599,CUST_PREMIUM_001013
dev_cc95f13d10,device_id,dev_cc95f13d10,CUST_PREMIUM_001013
dev_5ddacf961b,device_id,dev_5ddacf961b,CUST_PREMIUM_001013
CUST_PREMIUM_001014,cust_id,CUST_PREMIUM_001014,CUST_PREMIUM_001014
isabellahall@orchardmail.com,email,isabellahall@orchardmail.com,CUST_PREMIUM_001014
+1 (202) 780-3947,phone,+1 (202) 780-3947,CUST_PREMIUM_001014
8290,card_last4,Card *8290,CUST_PREMIUM_001014
ck_2c29d569d3,cookie,ck_2c29d569d3,CUST_PREMIUM_001014
dev_0c1b190193,device_id,dev_0c1b190193,CUST_PREMIUM_001014
CUST_PREMIUM_001015,cust_id,CUST_PREMIUM_001015,CUST_PREMIUM_001015
ibrahim.shah@example.com,email,ibrahim.shah@example.com,CUST_PREMIUM_001015
+1 (212) 718-1866,phone,+1 (212) 718-1866,CUST_PREMIUM_001015
2421,card_last4,Card *2421,CUST_PREMIUM_001015
ck_73eba13dcd,cookie,ck_73eba13dcd,CUST_PREMIUM_001015
dev_0ed1fa9c91,device_id,dev_0ed1fa9c91,CUST_PREMIUM_001015
dev_e117af689e,device_id,dev_e117af689e,CUST_PREMIUM_001015
CUST_PREMIUM_001016,cust_id,CUST_PREMIUM_001016,CUST_PREMIUM_001016
baker.sophia@harbor.example,email,baker.sophia@harbor.example,CUST_PREMIUM_001016
+1 (310) 766-9785,phone,+1 (310) 766-9785,CUST_PREMIUM_001016
7599,card_last4,Card *7599,CUST_PREMIUM_001016
ck_738675a076,cookie,ck_738675a076,CUST_PREMIUM_001016
ck_f3b7e5dad1,cookie,ck_f3b7e5dad1,CUST_PREMIUM_001016
dev_4121692443,device_id,dev_4121692443,CUST_PREMIUM_001016
dev_shared_8a63caf7b,device_id,dev_shared_8a63caf7b,CUST_PREMIUM_001016
CUST_PREMIUM_001017,cust_id,CUST_PREMIUM_001017,CUST_PREMIUM_001017
l.evans@harbor.example,email,l.evans@harbor.example,CUST_PREMIUM_001017
+1 (212) 792-7704,phone,+1 (212) 792-7704,CUST_PREMIUM_001017
9838,card_last4,Card *9838,CUST_PREMIUM_001017
ck_8729d23214,cookie,ck_8729d23214,CUST_PREMIUM_001017
ck_896d5936d4,cookie,ck_896d5936d4,CUST_PREMIUM_001017
dev_a43c0fb4de,device_id,dev_a43c0fb4de,CUST_PREMIUM_001017
CUST_PREMIUM_001018,cust_id,CUST_PREMIUM_001018,CUST_PREMIUM_001018
leo.young17@example.com,email,leo.young17@example.com,CUST_PREMIUM_001018
+1 (646) 239-5623,phone,+1 (646) 239-5623,CUST_PREMIUM_001018
2461,card_last4,Card *2461,CUST_PREMIUM_001018
ck_9d11724e7e,cookie,ck_9d11724e7e,CUST_PREMIUM_001018
dev_1a827ad986,device_id,dev_1a827ad986,CUST_PREMIUM_001018
CUST_PREMIUM_001019,cust_id,CUST_PREMIUM_001019,CUST_PREMIUM_001019
gracesingh@capital-demo.org,email,gracesingh@capital-demo.org,CUST_PREMIUM_001019
+1 (305) 221-3542,phone,+1 (305) 221-3542,CUST_PREMIUM_001019
2513,card_last4,Card *2513,CUST_PREMIUM_001019
ck_6b2efacc9b,cookie,ck_6b2efacc9b,CUST_PREMIUM_001019
dev_68c677b7bf,device_id,dev_68c677b7bf,CUST_PREMIUM_001019
dev_5e783fe642,device_id,dev_5e783fe642,CUST_PREMIUM_001019
CUST_PREMIUM_001020,cust_id,CUST_PREMIUM_001020,CUST_PREMIUM_001020
aaravrobinson@bluepeak.co,email,aaravrobinson@bluepeak.co,CUST_PREMIUM_001020
+1 (650) 335-1461,phone,+1 (650) 335-1461,CUST_PREMIUM_001020
9649,card_last4,Card *9649,CUST_PREMIUM_001020
ck_748cf2a95a,cookie,ck_748cf2a95a,CUST_PREMIUM_001020
dev_17a1b6efef,device_id,dev_17a1b6efef,CUST_PREMIUM_001020
CUST_PREMIUM_001021,cust_id,CUST_PREMIUM_001021,CUST_PREMIUM_001021
diegocampbell@example.com,email,diegocampbell@example.com,CUST_PREMIUM_001021
+1 (206) 306-9380,phone,+1 (206) 306-9380,CUST_PREMIUM_001021
3321,card_last4,Card *3321,CUST_PREMIUM_001021
ck_ff1f086ebd,cookie,ck_ff1f086ebd,CUST_PREMIUM_001021
dev_13d8ea7f2d,device_id,dev_13d8ea7f2d,CUST_PREMIUM_001021
CUST_PREMIUM_001022,cust_id,CUST_PREMIUM_001022,CUST_PREMIUM_001022
r.baker@orchardmail.com,email,r.baker@orchardmail.com,CUST_PREMIUM_001022
+1 (310) 288-7299,phone,+1 (310) 288-7299,CUST_PREMIUM_001022
3652,card_last4,Card *3652,CUST_PREMIUM_001022
ck_cc17ceaf2d,cookie,ck_cc17ceaf2d,CUST_PREMIUM_001022
dev_24319bf21d,device_id,dev_24319bf21d,CUST_PREMIUM_001022
CUST_PREMIUM_001023,cust_id,CUST_PREMIUM_001023,CUST_PREMIUM_001023
d.kumar@vectorlabs.co,email,d.kumar@vectorlabs.co,CUST_PREMIUM_001023
+1 (469) 479-5218,phone,+1 (469) 479-5218,CUST_PREMIUM_001023
8481,card_last4,Card *8481,CUST_PREMIUM_001023
ck_006716ef54,cookie,ck_006716ef54,CUST_PREMIUM_001023
ck_a8c8bff2d5,cookie,ck_a8c8bff2d5,CUST_PREMIUM_001023
dev_53810a67df,device_id,dev_53810a67df,CUST_PREMIUM_001023
CUST_PREMIUM_001024,cust_id,CUST_PREMIUM_001024,CUST_PREMIUM_001024
p.khan@vectorlabs.co,email,p.khan@vectorlabs.co,CUST_PREMIUM_001024
+1 (469) 516-3137,phone,+1 (469) 516-3137,CUST_PREMIUM_001024
1868,card_last4,Card *1868,CUST_PREMIUM_001024
ck_973940181a,cookie,ck_973940181a,CUST_PREMIUM_001024
dev_4b1f6d0659,device_id,dev_4b1f6d0659,CUST_PREMIUM_001024
dev_93a54b235c,device_id,dev_93a54b235c,CUST_PREMIUM_001024
CUST_PREMIUM_001025,cust_id,CUST_PREMIUM_001025,CUST_PREMIUM_001025
rafael.jones@orchardmail.com,email,rafael.jones@orchardmail.com,CUST_PREMIUM_001025
+1 (312) 410-1056,phone,+1 (312) 410-1056,CUST_PREMIUM_001025
2353,card_last4,Card *2353,CUST_PREMIUM_001025
ck_f408bf1b52,cookie,ck_f408bf1b52,CUST_PREMIUM_001025
ck_95e2c11c5d,cookie,ck_95e2c11c5d,CUST_PREMIUM_001025
ck_8816eff4b5,cookie,ck_8816eff4b5,CUST_PREMIUM_001025
dev_96e9c8c2ea,device_id,dev_96e9c8c2ea,CUST_PREMIUM_001025
CUST_PREMIUM_001026,cust_id,CUST_PREMIUM_001026,CUST_PREMIUM_001026
i.khan@summitmail.net,email,i.khan@summitmail.net,CUST_PREMIUM_001026
+1 (212) 425-8975,phone,+1 (212) 425-8975,CUST_PREMIUM_001026
7432,card_last4,Card *7432,CUST_PREMIUM_001026
ck_12c62554b6,cookie,ck_12c62554b6,CUST_PREMIUM_001026
dev_b4d4967352,device_id,dev_b4d4967352,CUST_PREMIUM_001026
dev_a22ba0277d,device_id,dev_a22ba0277d,CUST_PREMIUM_001026
dev_shared_38588bdb8,device_id,dev_shared_38588bdb8,CUST_PREMIUM_001026
CUST_PREMIUM_001027,cust_id,CUST_PREMIUM_001027,CUST_PREMIUM_001027
morgan.kabir@example.com,email,morgan.kabir@example.com,CUST_PREMIUM_001027
+1 (202) 561-6894,phone,+1 (202) 561-6894,CUST_PREMIUM_001027
5028,card_last4,Card *5028,CUST_PREMIUM_001027
ck_048d02cb05,cookie,ck_048d02cb05,CUST_PREMIUM_001027
dev_4df2f2131c,device_id,dev_4df2f2131c,CUST_PREMIUM_001027
CUST_PREMIUM_001028,cust_id,CUST_PREMIUM_001028,CUST_PREMIUM_001028
n.hall@harbor.example,email,n.hall@harbor.example,CUST_PREMIUM_001028
+1 (416) 620-4813,phone,+1 (416) 620-4813,CUST_PREMIUM_001028
2250,card_last4,Card *2250,CUST_PREMIUM_001028
ck_ece6021fa7,cookie,ck_ece6021fa7,CUST_PREMIUM_001028
dev_7c7bdf2bed,device_id,dev_7c7bdf2bed,CUST_PREMIUM_001028
CUST_PREMIUM_001029,cust_id,CUST_PREMIUM_001029,CUST_PREMIUM_001029
nathan.diaz@capital-demo.org,email,nathan.diaz@capital-demo.org,CUST_PREMIUM_001029
+1 (212) 536-2732,phone,+1 (212) 536-2732,CUST_PREMIUM_001029
1880,card_last4,Card *1880,CUST_PREMIUM_001029
ck_7791aad3b2,cookie,ck_7791aad3b2,CUST_PREMIUM_001029
ck_8e42206428,cookie,ck_8e42206428,CUST_PREMIUM_001029
dev_1eeeebfc62,device_id,dev_1eeeebfc62,CUST_PREMIUM_001029
CUST_PREMIUM_001030,cust_id,CUST_PREMIUM_001030,CUST_PREMIUM_001030
d.williams@northstar.org,email,d.williams@northstar.org,CUST_PREMIUM_001030
+1 (650) 705-0651,phone,+1 (650) 705-0651,CUST_PREMIUM_001030
1075,card_last4,Card *1075,CUST_PREMIUM_001030
ck_4cd64b9235,cookie,ck_4cd64b9235,CUST_PREMIUM_001030
ck_97a37804ef,cookie,ck_97a37804ef,CUST_PREMIUM_001030
dev_75970e203a,device_id,dev_75970e203a,CUST_PREMIUM_001030
CUST_PREMIUM_001031,cust_id,CUST_PREMIUM_001031,CUST_PREMIUM_001031
kumar.olivia@northstar.org,email,kumar.olivia@northstar.org,CUST_PREMIUM_001031
+1 (415) 643-8570,phone,+1 (415) 643-8570,CUST_PREMIUM_001031
5507,card_last4,Card *5507,CUST_PREMIUM_001031
ck_dc35672da9,cookie,ck_dc35672da9,CUST_PREMIUM_001031
dev_8a19be61d5,device_id,dev_8a19be61d5,CUST_PREMIUM_001031
dev_a7fcb3663a,device_id,dev_a7fcb3663a,CUST_PREMIUM_001031
CUST_PREMIUM_001032,cust_id,CUST_PREMIUM_001032,CUST_PREMIUM_001032
oliviathomas@example.com,email,oliviathomas@example.com,CUST_PREMIUM_001032
+1 (305) 702-6489,phone,+1 (305) 702-6489,CUST_PREMIUM_001032
8169,card_last4,Card *8169,CUST_PREMIUM_001032
ck_f8cf3c2a1a,cookie,ck_f8cf3c2a1a,CUST_PREMIUM_001032
ck_c8b1b04ecb,cookie,ck_c8b1b04ecb,CUST_PREMIUM_001032
dev_7dda7bb445,device_id,dev_7dda7bb445,CUST_PREMIUM_001032
dev_shared_52d9a51f6,device_id,dev_shared_52d9a51f6,CUST_PREMIUM_001032
CUST_PREMIUM_001033,cust_id,CUST_PREMIUM_001033,CUST_PREMIUM_001033
vivianrobinson@bluepeak.co,email,vivianrobinson@bluepeak.co,CUST_PREMIUM_001033
+1 (404) 772-4408,phone,+1 (404) 772-4408,CUST_PREMIUM_001033
6495,card_last4,Card *6495,CUST_PREMIUM_001033
ck_0614f77886,cookie,ck_0614f77886,CUST_PREMIUM_001033
dev_c408541875,device_id,dev_c408541875,CUST_PREMIUM_001033
CUST_PREMIUM_001034,cust_id,CUST_PREMIUM_001034,CUST_PREMIUM_001034
hiro.chen@orchardmail.com,email,hiro.chen@orchardmail.com,CUST_PREMIUM_001034
+1 (212) 721-2327,phone,+1 (212) 721-2327,CUST_PREMIUM_001034
9935,card_last4,Card *9935,CUST_PREMIUM_001034
ck_f6961de967,cookie,ck_f6961de967,CUST_PREMIUM_001034
ck_a3ee265cae,cookie,ck_a3ee265cae,CUST_PREMIUM_001034
dev_6899997465,device_id,dev_6899997465,CUST_PREMIUM_001034
CUST_PREMIUM_001035,cust_id,CUST_PREMIUM_001035,CUST_PREMIUM_001035
sora.rodriguez@summitmail.net,email,sora.rodriguez@summitmail.net,CUST_PREMIUM_001035
+1 (416) 879-0246,phone,+1 (416) 879-0246,CUST_PREMIUM_001035
3233,card_last4,Card *3233,CUST_PREMIUM_001035
ck_9310e17bd2,cookie,ck_9310e17bd2,CUST_PREMIUM_001035
ck_e96efd3b0f,cookie,ck_e96efd3b0f,CUST_PREMIUM_001035
dev_a24249603f,device_id,dev_a24249603f,CUST_PREMIUM_001035
CUST_PREMIUM_001036,cust_id,CUST_PREMIUM_001036,CUST_PREMIUM_001036
f.cooper@capital-demo.org,email,f.cooper@capital-demo.org,CUST_PREMIUM_001036
+1 (917) 238-8165,phone,+1 (917) 238-8165,CUST_PREMIUM_001036
1844,card_last4,Card *1844,CUST_PREMIUM_001036
ck_e8fd2afa90,cookie,ck_e8fd2afa90,CUST_PREMIUM_001036
dev_927e5ec89f,device_id,dev_927e5ec89f,CUST_PREMIUM_001036
dev_shared_96bd14734,device_id,dev_shared_96bd14734,CUST_PREMIUM_001036
CUST_PREMIUM_001037,cust_id,CUST_PREMIUM_001037,CUST_PREMIUM_001037
brown.andre@example.com,email,brown.andre@example.com,CUST_PREMIUM_001037
+1 (212) 832-6084,phone,+1 (212) 832-6084,CUST_PREMIUM_001037
0505,card_last4,Card *0505,CUST_PREMIUM_001037
ck_d61049417a,cookie,ck_d61049417a,CUST_PREMIUM_001037
ck_4f8ce10b99,cookie,ck_4f8ce10b99,CUST_PREMIUM_001037
dev_bfc6903b9a,device_id,dev_bfc6903b9a,CUST_PREMIUM_001037
CUST_PREMIUM_001038,cust_id,CUST_PREMIUM_001038,CUST_PREMIUM_001038
nathan.sato37@bluepeak.co,email,nathan.sato37@bluepeak.co,CUST_PREMIUM_001038
+1 (617) 246-4003,phone,+1 (617) 246-4003,CUST_PREMIUM_001038
7118,card_last4,Card *7118,CUST_PREMIUM_001038
ck_076c7fdf85,cookie,ck_076c7fdf85,CUST_PREMIUM_001038
ck_1f8fd6b1da,cookie,ck_1f8fd6b1da,CUST_PREMIUM_001038
dev_d1bade4bce,device_id,dev_d1bade4bce,CUST_PREMIUM_001038
CUST_PREMIUM_001039,cust_id,CUST_PREMIUM_001039,CUST_PREMIUM_001039
emma.anderson38@orchardmail.com,email,emma.anderson38@orchardmail.com,CUST_PREMIUM_001039
+1 (212) 206-1922,phone,+1 (212) 206-1922,CUST_PREMIUM_001039
9562,card_last4,Card *9562,CUST_PREMIUM_001039
ck_598dfb1e70,cookie,ck_598dfb1e70,CUST_PREMIUM_001039
ck_00faa84a78,cookie,ck_00faa84a78,CUST_PREMIUM_001039
dev_5693c9da80,device_id,dev_5693c9da80,CUST_PREMIUM_001039
CUST_PREMIUM_001040,cust_id,CUST_PREMIUM_001040,CUST_PREMIUM_001040
aditi.roy@harbor.example,email,aditi.roy@harbor.example,CUST_PREMIUM_001040
+1 (646) 353-9841,phone,+1 (646) 353-9841,CUST_PREMIUM_001040
5085,card_last4,Card *5085,CUST_PREMIUM_001040
ck_4611b6de9a,cookie,ck_4611b6de9a,CUST_PREMIUM_001040
ck_ebf376a2d2,cookie,ck_ebf376a2d2,CUST_PREMIUM_001040
ck_1ec84b63db,cookie,ck_1ec84b63db,CUST_PREMIUM_001040
dev_1ad5e78785,device_id,dev_1ad5e78785,CUST_PREMIUM_001040
dev_3d426b951d,device_id,dev_3d426b951d,CUST_PREMIUM_001040
CUST_PREMIUM_001041,cust_id,CUST_PREMIUM_001041,CUST_PREMIUM_001041
jasmineyoung@orchardmail.com,email,jasmineyoung@orchardmail.com,CUST_PREMIUM_001041
+1 (617) 357-7760,phone,+1 (617) 357-7760,CUST_PREMIUM_001041
9796,card_last4,Card *9796,CUST_PREMIUM_001041
ck_8f632391f4,cookie,ck_8f632391f4,CUST_PREMIUM_001041
dev_cc89420026,device_id,dev_cc89420026,CUST_PREMIUM_001041
dev_shared_6b20681da,device_id,dev_shared_6b20681da,CUST_PREMIUM_001041
CUST_PREMIUM_001042,cust_id,CUST_PREMIUM_001042,CUST_PREMIUM_001042
ibrahim.thompson41@vectorlabs.co,email,ibrahim.thompson41@vectorlabs.co,CUST_PREMIUM_001042
+1 (415) 350-5679,phone,+1 (415) 350-5679,CUST_PREMIUM_001042
0567,card_last4,Card *0567,CUST_PREMIUM_001042
ck_66f04acb7f,cookie,ck_66f04acb7f,CUST_PREMIUM_001042
dev_1207b88aa1,device_id,dev_1207b88aa1,CUST_PREMIUM_001042
CUST_PREMIUM_001043,cust_id,CUST_PREMIUM_001043,CUST_PREMIUM_001043
omarlopez@capital-demo.org,email,omarlopez@capital-demo.org,CUST_PREMIUM_001043
+1 (202) 453-3598,phone,+1 (202) 453-3598,CUST_PREMIUM_001043
6895,card_last4,Card *6895,CUST_PREMIUM_001043
ck_6c2768fa36,cookie,ck_6c2768fa36,CUST_PREMIUM_001043
dev_93481e629e,device_id,dev_93481e629e,CUST_PREMIUM_001043
CUST_PREMIUM_001044,cust_id,CUST_PREMIUM_001044,CUST_PREMIUM_001044
h.robinson@example.com,email,h.robinson@example.com,CUST_PREMIUM_001044
+1 (312) 413-1517,phone,+1 (312) 413-1517,CUST_PREMIUM_001044
4581,card_last4,Card *4581,CUST_PREMIUM_001044
ck_452162c95a,cookie,ck_452162c95a,CUST_PREMIUM_001044
dev_10457b0110,device_id,dev_10457b0110,CUST_PREMIUM_001044
CUST_PREMIUM_001045,cust_id,CUST_PREMIUM_001045,CUST_PREMIUM_001045
baker.chloe@example.com,email,baker.chloe@example.com,CUST_PREMIUM_001045
+1 (617) 505-9436,phone,+1 (617) 505-9436,CUST_PREMIUM_001045
9955,card_last4,Card *9955,CUST_PREMIUM_001045
ck_446defdb20,cookie,ck_446defdb20,CUST_PREMIUM_001045
ck_fdfa08f3ae,cookie,ck_fdfa08f3ae,CUST_PREMIUM_001045
dev_04da70dcf3,device_id,dev_04da70dcf3,CUST_PREMIUM_001045
dev_be0acb2a12,device_id,dev_be0acb2a12,CUST_PREMIUM_001045
dev_239a5c9600,device_id,dev_239a5c9600,CUST_PREMIUM_001045
CUST_PREMIUM_001046,cust_id,CUST_PREMIUM_001046,CUST_PREMIUM_001046
grace.rodriguez@bluepeak.co,email,grace.rodriguez@bluepeak.co,CUST_PREMIUM_001046
+1 (617) 542-7355,phone,+1 (617) 542-7355,CUST_PREMIUM_001046
4737,card_last4,Card *4737,CUST_PREMIUM_001046
ck_75703e1a18,cookie,ck_75703e1a18,CUST_PREMIUM_001046
ck_96524fecaf,cookie,ck_96524fecaf,CUST_PREMIUM_001046
dev_58e4798b9b,device_id,dev_58e4798b9b,CUST_PREMIUM_001046
CUST_PREMIUM_001047,cust_id,CUST_PREMIUM_001047,CUST_PREMIUM_001047
norarobinson@northstar.org,email,norarobinson@northstar.org,CUST_PREMIUM_001047
+1 (469) 667-5274,phone,+1 (469) 667-5274,CUST_PREMIUM_001047
6701,card_last4,Card *6701,CUST_PREMIUM_001047
ck_e2dc59bfc2,cookie,ck_e2dc59bfc2,CUST_PREMIUM_001047
dev_08e243ad2c,device_id,dev_08e243ad2c,CUST_PREMIUM_001047
CUST_PREMIUM_001048,cust_id,CUST_PREMIUM_001048,CUST_PREMIUM_001048
isla.jones47@summitmail.net,email,isla.jones47@summitmail.net,CUST_PREMIUM_001048
+1 (206) 605-3193,phone,+1 (206) 605-3193,CUST_PREMIUM_001048
3911,card_last4,Card *3911,CUST_PREMIUM_001048
ck_579cb7ea78,cookie,ck_579cb7ea78,CUST_PREMIUM_001048
dev_5f1e2f7217,device_id,dev_5f1e2f7217,CUST_PREMIUM_001048
CUST_PREMIUM_001049,cust_id,CUST_PREMIUM_001049,CUST_PREMIUM_001049
rafael.wilson48@atlasmail.net,email,rafael.wilson48@atlasmail.net,CUST_PREMIUM_001049
+1 (212) 576-1112,phone,+1 (212) 576-1112,CUST_PREMIUM_001049
7572,card_last4,Card *7572,CUST_PREMIUM_001049
ck_fc42e0040f,cookie,ck_fc42e0040f,CUST_PREMIUM_001049
dev_97d9792b01,device_id,dev_97d9792b01,CUST_PREMIUM_001049
CUST_PREMIUM_001050,cust_id,CUST_PREMIUM_001050,CUST_PREMIUM_001050
fatimadiaz@example.com,email,fatimadiaz@example.com,CUST_PREMIUM_001050
+1 (617) 690-9031,phone,+1 (617) 690-9031,CUST_PREMIUM_001050
2780,card_last4,Card *2780,CUST_PREMIUM_001050
ck_57018ff3d0,cookie,ck_57018ff3d0,CUST_PREMIUM_001050
ck_537579249b,cookie,ck_537579249b,CUST_PREMIUM_001050
dev_cf56ebe91e,device_id,dev_cf56ebe91e,CUST_PREMIUM_001050
dev_shared_fa527b5e0,device_id,dev_shared_fa527b5e0,CUST_PREMIUM_001050
