source,target,rel_type,type,owner_cust_id
brown.leo@bluepeak.co,dev_a70eb03805,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001003
brown.leo@bluepeak.co,dev_shared_a09add667,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001003
CUST_PREMIUM_001004,s.baker@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001004
CUST_PREMIUM_001004,+1 (214) 355-4757,PRIMARY_PHONE,phone,CUST_PREMIUM_001004
CUST_PREMIUM_001004,6296,ISSUED_CARD,card_last4,CUST_PREMIUM_001004
s.baker@vectorlabs.co,ck_546e1a5aa2,SESSION_COOKIE,cookie,CUST_PREMIUM_001004
s.baker@vectorlabs.co,ck_a4112e7072,SESSION_COOKIE,cookie,CUST_PREMIUM_001004
s.baker@vectorlabs.co,dev_68900b1ec1,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001004
CUST_PREMIUM_001005,o.bennett@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001005
CUST_PREMIUM_001005,+1 (212) 348-2676,PRIMARY_PHONE,phone,CUST_PREMIUM_001005
CUST_PREMIUM_001005,1542,ISSUED_CARD,card_last4,CUST_PREMIUM_001005
o.bennett@orchardmail.com,ck_b3950b7e73,SESSION_COOKIE,cookie,CUST_PREMIUM_001005
o.bennett@orchardmail.com,dev_5e3aa13048,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001005
o.bennett@orchardmail.com,dev_2632e7ee32,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001005
CUST_PREMIUM_001006,sara.young5@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001006
CUST_PREMIUM_001006,+1 (404) 473-0595,PRIMARY_PHONE,phone,CUST_PREMIUM_001006
CUST_PREMIUM_001006,0479,ISSUED_CARD,card_last4,CUST_PREMIUM_001006
sara.young5@orchardmail.com,ck_f7e29d9ac1,SESSION_COOKIE,cookie,CUST_PREMIUM_001006
sara.young5@orchardmail.com,dev_2d9ce90713,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001006
CUST_PREMIUM_001007,amelia.roy6@northstar.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001007
CUST_PREMIUM_001007,+1 (404) 510-8514,PRIMARY_PHONE,phone,CUST_PREMIUM_001007
CUST_PREMIUM_001007,2981,ISSUED_CARD,card_last4,CUST_PREMIUM_001007
amelia.roy6@northstar.org,ck_53135ec3d6,SESSION_COOKIE,cookie,CUST_PREMIUM_001007
amelia.roy6@northstar.org,dev_89a046623e,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001007
amelia.roy6@northstar.org,dev_18b9e0292e,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001007
CUST_PREMIUM_001008,sophiahernandez@northstar.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001008
CUST_PREMIUM_001008,+1 (202) 558-6433,PRIMARY_PHONE,phone,CUST_PREMIUM_001008
CUST_PREMIUM_001008,6419,ISSUED_CARD,card_last4,CUST_PREMIUM_001008
sophiahernandez@northstar.org,ck_c3de34eabb,SESSION_COOKIE,cookie,CUST_PREMIUM_001008
sophiahernandez@northstar.org,ck_6baaa18eed,SESSION_COOKIE,cookie,CUST_PREMIUM_001008
sophiahernandez@northstar.org,dev_2c6ce1ba97,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001008
sophiahernandez@northstar.org,dev_shared_91e42d586,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001008
CUST_PREMIUM_001009,david.lee@atlasmail.net,PRIMARY_EMAIL,email,CUST_PREMIUM_001009
CUST_PREMIUM_001009,+1 (650) 628-4352,PRIMARY_PHONE,phone,CUST_PREMIUM_001009
CUST_PREMIUM_001009,8814,ISSUED_CARD,card_last4,CUST_PREMIUM_001009
david.lee@atlasmail.net,ck_55704d3341,SESSION_COOKIE,cookie,CUST_PREMIUM_001009
david.lee@atlasmail.net,ck_535213866d,SESSION_COOKIE,cookie,CUST_PREMIUM_001009
david.lee@atlasmail.net,dev_5d9136405f,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001009
CUST_PREMIUM_001010,k.campbell@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001010
CUST_PREMIUM_001010,+1 (310) 544-2271,PRIMARY_PHONE,phone,CUST_PREMIUM_001010
CUST_PREMIUM_001010,6470,ISSUED_CARD,card_last4,CUST_PREMIUM_001010
k.campbell@vectorlabs.co,ck_90132381d1,SESSION_COOKIE,cookie,CUST_PREMIUM_001010
k.campbell@vectorlabs.co,ck_2865cb759a,SESSION_COOKIE,cookie,CUST_PREMIUM_001010
k.campbell@vectorlabs.co,ck_3ba215353a,SESSION_COOKIE,cookie,CUST_PREMIUM_001010
k.campbell@vectorlabs.co,dev_8146742b37,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001010
CUST_PREMIUM_001011,emma.kumar10@summitmail.net,PRIMARY_EMAIL,email,CUST_PREMIUM_001011
CUST_PREMIUM_001011,+1 (212) 570-0190,PRIMARY_PHONE,phone,CUST_PREMIUM_001011
CUST_PREMIUM_001011,9671,ISSUED_CARD,card_last4,CUST_PREMIUM_001011
emma.kumar10@summitmail.net,ck_9319b16569,SESSION_COOKIE,cookie,CUST_PREMIUM_001011
emma.kumar10@summitmail.net,dev_a5fd2b44c0,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001011
CUST_PREMIUM_001012,sterling.liam@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001012
CUST_PREMIUM_001012,+1 (404) 695-8109,PRIMARY_PHONE,phone,CUST_PREMIUM_001012
CUST_PREMIUM_001012,9899,ISSUED_CARD,card_last4,CUST_PREMIUM_001012
sterling.liam@vectorlabs.co,ck_75cdfb5314,SESSION_COOKIE,cookie,CUST_PREMIUM_001012
sterling.liam@vectorlabs.co,ck_bd9c12dc1f,SESSION_COOKIE,cookie,CUST_PREMIUM_001012
sterling.liam@vectorlabs.co,ck_f6082e24a0,SESSION_COOKIE,cookie,CUST_PREMIUM_001012
sterling.liam@vectorlabs.co,dev_a4f623a69f,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001012
CUST_PREMIUM_001013,chloe.ito@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001013
CUST_PREMIUM_001013,+1 (404) 732-6028,PRIMARY_PHONE,phone,CUST_PREMIUM_001013
CUST_PREMIUM_001013,9838,ISSUED_CARD,card_last4,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,ck_8a777c3dd7,SESSION_COOKIE,cookie,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,ck_deae147c63,SESSION_COOKIE,cookie,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,ck_fab096768d,SESSION_COOKIE,cookie,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,ck_6232a0c599,SESSION_COOKIE,cookie,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,dev_cc95f13d10,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001013
chloe.ito@vectorlabs.co,dev_5ddacf961b,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001013
CUST_PREMIUM_001014,isabellahall@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001014
CUST_PREMIUM_001014,+1 (202) 780-3947,PRIMARY_PHONE,phone,CUST_PREMIUM_001014
CUST_PREMIUM_001014,8290,ISSUED_CARD,card_last4,CUST_PREMIUM_001014
isabellahall@orchardmail.com,ck_2c29d569d3,SESSION_COOKIE,cookie,CUST_PREMIUM_001014
isabellahall@orchardmail.com,dev_0c1b190193,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001014
CUST_PREMIUM_001015,ibrahim.shah@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001015
CUST_PREMIUM_001015,+1 (212) 718-1866,PRIMARY_PHONE,phone,CUST_PREMIUM_001015
CUST_PREMIUM_001015,2421,ISSUED_CARD,card_last4,CUST_PREMIUM_001015
ibrahim.shah@example.com,ck_73eba13dcd,SESSION_COOKIE,cookie,CUST_PREMIUM_001015
ibrahim.shah@example.com,dev_0ed1fa9c91,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001015
ibrahim.shah@example.com,dev_e117af689e,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001015
CUST_PREMIUM_001016,baker.sophia@harbor.example,PRIMARY_EMAIL,email,CUST_PREMIUM_001016
CUST_PREMIUM_001016,+1 (310) 766-9785,PRIMARY_PHONE,phone,CUST_PREMIUM_001016
CUST_PREMIUM_001016,7599,ISSUED_CARD,card_last4,CUST_PREMIUM_001016
baker.sophia@harbor.example,ck_738675a076,SESSION_COOKIE,cookie,CUST_PREMIUM_001016
baker.sophia@harbor.example,ck_f3b7e5dad1,SESSION_COOKIE,cookie,CUST_PREMIUM_001016
baker.sophia@harbor.example,dev_4121692443,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001016
baker.sophia@harbor.example,dev_shared_8a63caf7b,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001016
CUST_PREMIUM_001017,l.evans@harbor.example,PRIMARY_EMAIL,email,CUST_PREMIUM_001017
CUST_PREMIUM_001017,+1 (212) 792-7704,PRIMARY_PHONE,phone,CUST_PREMIUM_001017
CUST_PREMIUM_001017,9838,ISSUED_CARD,card_last4,CUST_PREMIUM_001017
l.evans@harbor.example,ck_8729d23214,SESSION_COOKIE,cookie,CUST_PREMIUM_001017
l.evans@harbor.example,ck_896d5936d4,SESSION_COOKIE,cookie,CUST_PREMIUM_001017
l.evans@harbor.example,dev_a43c0fb4de,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001017
CUST_PREMIUM_001018,leo.young17@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001018
CUST_PREMIUM_001018,+1 (646) 239-5623,PRIMARY_PHONE,phone,CUST_PREMIUM_001018
CUST_PREMIUM_001018,2461,ISSUED_CARD,card_last4,CUST_PREMIUM_001018
leo.young17@example.com,ck_9d11724e7e,SESSION_COOKIE,cookie,CUST_PREMIUM_001018
leo.young17@example.com,dev_1a827ad986,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001018
CUST_PREMIUM_001019,gracesingh@capital-demo.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001019
CUST_PREMIUM_001019,+1 (305) 221-3542,PRIMARY_PHONE,phone,CUST_PREMIUM_001019
CUST_PREMIUM_001019,2513,ISSUED_CARD,card_last4,CUST_PREMIUM_001019
gracesingh@capital-demo.org,ck_6b2efacc9b,SESSION_COOKIE,cookie,CUST_PREMIUM_001019
gracesingh@capital-demo.org,dev_68c677b7bf,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001019
gracesingh@capital-demo.org,dev_5e783fe642,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001019
CUST_PREMIUM_001020,aaravrobinson@bluepeak.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001020
CUST_PREMIUM_001020,+1 (650) 335-1461,PRIMARY_PHONE,phone,CUST_PREMIUM_001020
CUST_PREMIUM_001020,9649,ISSUED_CARD,card_last4,CUST_PREMIUM_001020
aaravrobinson@bluepeak.co,ck_748cf2a95a,SESSION_COOKIE,cookie,CUST_PREMIUM_001020
aaravrobinson@bluepeak.co,dev_17a1b6efef,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001020
CUST_PREMIUM_001021,diegocampbell@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001021
CUST_PREMIUM_001021,+1 (206) 306-9380,PRIMARY_PHONE,phone,CUST_PREMIUM_001021
CUST_PREMIUM_001021,3321,ISSUED_CARD,card_last4,CUST_PREMIUM_001021
diegocampbell@example.com,ck_ff1f086ebd,SESSION_COOKIE,cookie,CUST_PREMIUM_001021
diegocampbell@example.com,dev_13d8ea7f2d,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001021
CUST_PREMIUM_001022,r.baker@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001022
CUST_PREMIUM_001022,+1 (310) 288-7299,PRIMARY_PHONE,phone,CUST_PREMIUM_001022
CUST_PREMIUM_001022,3652,ISSUED_CARD,card_last4,CUST_PREMIUM_001022
r.baker@orchardmail.com,ck_cc17ceaf2d,SESSION_COOKIE,cookie,CUST_PREMIUM_001022
r.baker@orchardmail.com,dev_24319bf21d,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001022
CUST_PREMIUM_001023,d.kumar@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001023
CUST_PREMIUM_001023,+1 (469) 479-5218,PRIMARY_PHONE,phone,CUST_PREMIUM_001023
CUST_PREMIUM_001023,8481,ISSUED_CARD,card_last4,CUST_PREMIUM_001023
d.kumar@vectorlabs.co,ck_006716ef54,SESSION_COOKIE,cookie,CUST_PREMIUM_001023
d.kumar@vectorlabs.co,ck_a8c8bff2d5,SESSION_COOKIE,cookie,CUST_PREMIUM_001023
d.kumar@vectorlabs.co,dev_53810a67df,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001023
CUST_PREMIUM_001024,p.khan@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001024
CUST_PREMIUM_001024,+1 (469) 516-3137,PRIMARY_PHONE,phone,CUST_PREMIUM_001024
CUST_PREMIUM_001024,1868,ISSUED_CARD,card_last4,CUST_PREMIUM_001024
p.khan@vectorlabs.co,ck_973940181a,SESSION_COOKIE,cookie,CUST_PREMIUM_001024
p.khan@vectorlabs.co,dev_4b1f6d0659,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001024
p.khan@vectorlabs.co,dev_93a54b235c,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001024
CUST_PREMIUM_001025,rafael.jones@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001025
CUST_PREMIUM_001025,+1 (312) 410-1056,PRIMARY_PHONE,phone,CUST_PREMIUM_001025
CUST_PREMIUM_001025,2353,ISSUED_CARD,card_last4,CUST_PREMIUM_001025
rafael.jones@orchardmail.com,ck_f408bf1b52,SESSION_COOKIE,cookie,CUST_PREMIUM_001025
rafael.jones@orchardmail.com,ck_95e2c11c5d,SESSION_COOKIE,cookie,CUST_PREMIUM_001025
rafael.jones@orchardmail.com,ck_8816eff4b5,SESSION_COOKIE,cookie,CUST_PREMIUM_001025
rafael.jones@orchardmail.com,dev_96e9c8c2ea,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001025
CUST_PREMIUM_001026,i.khan@summitmail.net,PRIMARY_EMAIL,email,CUST_PREMIUM_001026
CUST_PREMIUM_001026,+1 (212) 425-8975,PRIMARY_PHONE,phone,CUST_PREMIUM_001026
CUST_PREMIUM_001026,7432,ISSUED_CARD,card_last4,CUST_PREMIUM_001026
i.khan@summitmail.net,ck_12c62554b6,SESSION_COOKIE,cookie,CUST_PREMIUM_001026
i.khan@summitmail.net,dev_b4d4967352,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001026
i.khan@summitmail.net,dev_a22ba0277d,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001026
i.khan@summitmail.net,dev_shared_38588bdb8,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001026
CUST_PREMIUM_001027,morgan.kabir@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001027
CUST_PREMIUM_001027,+1 (202) 561-6894,PRIMARY_PHONE,phone,CUST_PREMIUM_001027
CUST_PREMIUM_001027,5028,ISSUED_CARD,card_last4,CUST_PREMIUM_001027
morgan.kabir@example.com,ck_048d02cb05,SESSION_COOKIE,cookie,CUST_PREMIUM_001027
morgan.kabir@example.com,dev_4df2f2131c,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001027
CUST_PREMIUM_001028,n.hall@harbor.example,PRIMARY_EMAIL,email,CUST_PREMIUM_001028
CUST_PREMIUM_001028,+1 (416) 620-4813,PRIMARY_PHONE,phone,CUST_PREMIUM_001028
CUST_PREMIUM_001028,2250,ISSUED_CARD,card_last4,CUST_PREMIUM_001028
n.hall@harbor.example,ck_ece6021fa7,SESSION_COOKIE,cookie,CUST_PREMIUM_001028
n.hall@harbor.example,dev_7c7bdf2bed,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001028
CUST_PREMIUM_001029,nathan.diaz@capital-demo.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001029
CUST_PREMIUM_001029,+1 (212) 536-2732,PRIMARY_PHONE,phone,CUST_PREMIUM_001029
CUST_PREMIUM_001029,1880,ISSUED_CARD,card_last4,CUST_PREMIUM_001029
nathan.diaz@capital-demo.org,ck_7791aad3b2,SESSION_COOKIE,cookie,CUST_PREMIUM_001029
nathan.diaz@capital-demo.org,ck_8e42206428,SESSION_COOKIE,cookie,CUST_PREMIUM_001029
nathan.diaz@capital-demo.org,dev_1eeeebfc62,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001029
CUST_PREMIUM_001030,d.williams@northstar.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001030
CUST_PREMIUM_001030,+1 (650) 705-0651,PRIMARY_PHONE,phone,CUST_PREMIUM_001030
CUST_PREMIUM_001030,1075,ISSUED_CARD,card_last4,CUST_PREMIUM_001030
d.williams@northstar.org,ck_4cd64b9235,SESSION_COOKIE,cookie,CUST_PREMIUM_001030
d.williams@northstar.org,ck_97a37804ef,SESSION_COOKIE,cookie,CUST_PREMIUM_001030
d.williams@northstar.org,dev_75970e203a,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001030
CUST_PREMIUM_001031,kumar.olivia@northstar.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001031
CUST_PREMIUM_001031,+1 (415) 643-8570,PRIMARY_PHONE,phone,CUST_PREMIUM_001031
CUST_PREMIUM_001031,5507,ISSUED_CARD,card_last4,CUST_PREMIUM_001031
kumar.olivia@northstar.org,ck_dc35672da9,SESSION_COOKIE,cookie,CUST_PREMIUM_001031
kumar.olivia@northstar.org,dev_8a19be61d5,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001031
kumar.olivia@northstar.org,dev_a7fcb3663a,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001031
CUST_PREMIUM_001032,oliviathomas@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001032
CUST_PREMIUM_001032,+1 (305) 702-6489,PRIMARY_PHONE,phone,CUST_PREMIUM_001032
CUST_PREMIUM_001032,8169,ISSUED_CARD,card_last4,CUST_PREMIUM_001032
oliviathomas@example.com,ck_f8cf3c2a1a,SESSION_COOKIE,cookie,CUST_PREMIUM_001032
oliviathomas@example.com,ck_c8b1b04ecb,SESSION_COOKIE,cookie,CUST_PREMIUM_001032
oliviathomas@example.com,dev_7dda7bb445,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001032
oliviathomas@example.com,dev_shared_52d9a51f6,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001032
CUST_PREMIUM_001033,vivianrobinson@bluepeak.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001033
CUST_PREMIUM_001033,+1 (404) 772-4408,PRIMARY_PHONE,phone,CUST_PREMIUM_001033
CUST_PREMIUM_001033,6495,ISSUED_CARD,card_last4,CUST_PREMIUM_001033
vivianrobinson@bluepeak.co,ck_0614f77886,SESSION_COOKIE,cookie,CUST_PREMIUM_001033
vivianrobinson@bluepeak.co,dev_c408541875,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001033
CUST_PREMIUM_001034,hiro.chen@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001034
CUST_PREMIUM_001034,+1 (212) 721-2327,PRIMARY_PHONE,phone,CUST_PREMIUM_001034
CUST_PREMIUM_001034,9935,ISSUED_CARD,card_last4,CUST_PREMIUM_001034
hiro.chen@orchardmail.com,ck_f6961de967,SESSION_COOKIE,cookie,CUST_PREMIUM_001034
hiro.chen@orchardmail.com,ck_a3ee265cae,SESSION_COOKIE,cookie,CUST_PREMIUM_001034
hiro.chen@orchardmail.com,dev_6899997465,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001034
CUST_PREMIUM_001035,sora.rodriguez@summitmail.net,PRIMARY_EMAIL,email,CUST_PREMIUM_001035
CUST_PREMIUM_001035,+1 (416) 879-0246,PRIMARY_PHONE,phone,CUST_PREMIUM_001035
CUST_PREMIUM_001035,3233,ISSUED_CARD,card_last4,CUST_PREMIUM_001035
sora.rodriguez@summitmail.net,ck_9310e17bd2,SESSION_COOKIE,cookie,CUST_PREMIUM_001035
sora.rodriguez@summitmail.net,ck_e96efd3b0f,SESSION_COOKIE,cookie,CUST_PREMIUM_001035
sora.rodriguez@summitmail.net,dev_a24249603f,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001035
CUST_PREMIUM_001036,f.cooper@capital-demo.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001036
CUST_PREMIUM_001036,+1 (917) 238-8165,PRIMARY_PHONE,phone,CUST_PREMIUM_001036
CUST_PREMIUM_001036,1844,ISSUED_CARD,card_last4,CUST_PREMIUM_001036
f.cooper@capital-demo.org,ck_e8fd2afa90,SESSION_COOKIE,cookie,CUST_PREMIUM_001036
f.cooper@capital-demo.org,dev_927e5ec89f,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001036
f.cooper@capital-demo.org,dev_shared_96bd14734,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001036
CUST_PREMIUM_001037,brown.andre@example.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001037
CUST_PREMIUM_001037,+1 (212) 832-6084,PRIMARY_PHONE,phone,CUST_PREMIUM_001037
CUST_PREMIUM_001037,0505,ISSUED_CARD,card_last4,CUST_PREMIUM_001037
brown.andre@example.com,ck_d61049417a,SESSION_COOKIE,cookie,CUST_PREMIUM_001037
brown.andre@example.com,ck_4f8ce10b99,SESSION_COOKIE,cookie,CUST_PREMIUM_001037
brown.andre@example.com,dev_bfc6903b9a,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001037
CUST_PREMIUM_001038,nathan.sato37@bluepeak.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001038
CUST_PREMIUM_001038,+1 (617) 246-4003,PRIMARY_PHONE,phone,CUST_PREMIUM_001038
CUST_PREMIUM_001038,7118,ISSUED_CARD,card_last4,CUST_PREMIUM_001038
nathan.sato37@bluepeak.co,ck_076c7fdf85,SESSION_COOKIE,cookie,CUST_PREMIUM_001038
nathan.sato37@bluepeak.co,ck_1f8fd6b1da,SESSION_COOKIE,cookie,CUST_PREMIUM_001038
nathan.sato37@bluepeak.co,dev_d1bade4bce,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001038
CUST_PREMIUM_001039,emma.anderson38@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001039
CUST_PREMIUM_001039,+1 (212) 206-1922,PRIMARY_PHONE,phone,CUST_PREMIUM_001039
CUST_PREMIUM_001039,9562,ISSUED_CARD,card_last4,CUST_PREMIUM_001039
emma.anderson38@orchardmail.com,ck_598dfb1e70,SESSION_COOKIE,cookie,CUST_PREMIUM_001039
emma.anderson38@orchardmail.com,ck_00faa84a78,SESSION_COOKIE,cookie,CUST_PREMIUM_001039
emma.anderson38@orchardmail.com,dev_5693c9da80,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001039
CUST_PREMIUM_001040,aditi.roy@harbor.example,PRIMARY_EMAIL,email,CUST_PREMIUM_001040
CUST_PREMIUM_001040,+1 (646) 353-9841,PRIMARY_PHONE,phone,CUST_PREMIUM_001040
CUST_PREMIUM_001040,5085,ISSUED_CARD,card_last4,CUST_PREMIUM_001040
aditi.roy@harbor.example,ck_4611b6de9a,SESSION_COOKIE,cookie,CUST_PREMIUM_001040
aditi.roy@harbor.example,ck_ebf376a2d2,SESSION_COOKIE,cookie,CUST_PREMIUM_001040
aditi.roy@harbor.example,ck_1ec84b63db,SESSION_COOKIE,cookie,CUST_PREMIUM_001040
aditi.roy@harbor.example,dev_1ad5e78785,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001040
aditi.roy@harbor.example,dev_3d426b951d,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001040
CUST_PREMIUM_001041,jasmineyoung@orchardmail.com,PRIMARY_EMAIL,email,CUST_PREMIUM_001041
CUST_PREMIUM_001041,+1 (617) 357-7760,PRIMARY_PHONE,phone,CUST_PREMIUM_001041
CUST_PREMIUM_001041,9796,ISSUED_CARD,card_last4,CUST_PREMIUM_001041
jasmineyoung@orchardmail.com,ck_8f632391f4,SESSION_COOKIE,cookie,CUST_PREMIUM_001041
jasmineyoung@orchardmail.com,dev_cc89420026,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001041
jasmineyoung@orchardmail.com,dev_shared_6b20681da,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001041
CUST_PREMIUM_001042,ibrahim.thompson41@vectorlabs.co,PRIMARY_EMAIL,email,CUST_PREMIUM_001042
CUST_PREMIUM_001042,+1 (415) 350-5679,PRIMARY_PHONE,phone,CUST_PREMIUM_001042
CUST_PREMIUM_001042,0567,ISSUED_CARD,card_last4,CUST_PREMIUM_001042
ibrahim.thompson41@vectorlabs.co,ck_66f04acb7f,SESSION_COOKIE,cookie,CUST_PREMIUM_001042
ibrahim.thompson41@vectorlabs.co,dev_1207b88aa1,AUTHENTICATED_DEVICE,device_id,CUST_PREMIUM_001042
CUST_PREMIUM_001043,omarlopez@capital-demo.org,PRIMARY_EMAIL,email,CUST_PREMIUM_001043
